Planning Area,Elderly Population
Bedok,62900
Tampines,50900
Hougang,45870
Jurong West,42490
Ang Mo Kio,40520
Yishun,37780
Bukit Merah,36430
Woodlands,33530
Sengkang,33280
Toa Payoh,30850
Bukit Batok,28920
Serangoon,26980
Choa Chu Kang,26680
Geylang,25230
Kallang,23740
Bukit Panjang,23390
Queenstown,22600
Pasir Ris,21800
Clementi,21320
Bishan,19300
Punggol,18900
Jurong East,17750
Bukit Timah,15030
Sembawang,12330
Marine Parade,9920
Novena,9640
Outram,4840
Tanglin,3780
Rochor,3010
River Valley,1600
Newton,1290
Tengah,660
Downtown Core,330
Singapore River,330
Mandai,310
Changi,280
Southern Islands,240
Sungei Kadut,170
Orchard,150
Western Water Catchment,20
Museum,10
Marina South,0
Marina East,0
Changi Bay,0
Boon Lay,0
Lim Chu Kang,0
Central Water Catchment,0
Seletar,0
Paya Lebar,0
Pioneer,0
North-Eastern Islands,0
Straits View,0
Simpang,0
Tuas,0
Western Islands,0
